"table","column","is_pk","is_fk","i1","i2","i3","i4","i5","i6","u1","u2","type","default","description"
"places","places_id",1,,,,,,,,,,"INTEGER",,
"places","type",,,1,,,,,,,,"TEXT",,
"places","city",,,,1,,,,,,1,"TEXT",,
"places","code",,,,,,,,,1,,"TEXT",,
"places","name",,,,,1,,,,,1,"TEXT",,
"places","geoid",,,,,,1,,,,,"TEXT",,
"places","lon",,,,,,,1,,,,"REAL",,"Longitude of centroid"
"places","lat",,,,,,,1,,,,"REAL",,"Latitude of centroid"
"places","wkt",,,,,,,,,,,"MULTIPOLYGON",,
"places","area",,,,,,,,,,,"REAL",,
"places","origsrs",,,,,,,,,,,"TEXT",,
"places","spsrs",,,,,,,,,,,"TEXT",,
"places ","wgsenvelope",,,,,,,,,,,"TEXT",,"Envelope in WGS84 lon/lat"
"places ","utmenvelope",,,,,,,,,,,"TEXT",,"Envelope in the NAD83/SPCS/UTM SRS"
"places","aa",,,,,,,,,,,"TEXT",,"Analysis Area in json"
