"table","column","is_pk","is_fk","i1","i2","i3","i4","i5","i6","i7","i8","i9","ui1","ui2","type","description"
"street_lights","street_lights",1,,,,,,,,,,,,,"INTEGER",
"incidents","type",,,1,,,,,,,,,,,"TEXT",
"incidents","agency",,,,,,,,,,,,,,"TEXT",
"incidents","datetime",,,,,1,,,,,,,,,"TIMESTAMP",
"incidents","legend",,,,,,1,,,,,,,,"TEXT",
"incidents","description",,,,,,,,,,,,,,"TEXT",
"incidents","addresses_id",,,,,,,,,,,,,,"TEXT",
"incidents","city",,,,,,,,,,,,,,"TEXT",
"incidents","neighborhood",,,,,,,,,,,,,,"TEXT",
"incidents","place",,,,,,,,,,,,,,"TEXT",
"incidents","x",,,,,,,,,,,,,,"INTEGER",
"incidents","y",,,,,,,,,,,,,,"INTEGER",
"incidents","lon",,,,,,,,,,,,,,"REAL",
"incidents","lat",,,,,,,,,,,,,,"REAL",
"incidents","cellx",,,,,,,,,,,,,,"INTEGER",
"incidents","celly",,,,,,,,,,,,,,"INTEGER",
